open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682640000000,22.325,22.369,22.324,22.331,37714,1682640179999,842838.23,1473,17236,385178.271,0
1682640180000,22.331,22.345,22.317,22.318,15424,1682640359999,344416.147,830,8417,187957.424,0
1682640360000,22.317,22.424,22.29,22.421,72812,1682640539999,1629277.661,2494,53236,1191347.16,0
1682640540000,22.421,22.424,22.351,22.358,36740,1682640719999,822500.314,1709,15929,356649.644,0
1682640720000,22.357,22.376,22.328,22.331,20244,1682640899999,452472.681,1025,10205,228070.385,0
1682640900000,22.33,22.331,22.257,22.258,50865,1682641079999,1133312.782,2078,19765,440385.586,0
1682641080000,22.258,22.35,22.254,22.346,38170,1682641259999,851096.002,1630,24509,546407.294,0
1682641260000,22.346,22.355,22.257,22.271,40182,1682641439999,896163.825,1665,15326,341746.375,0
1682641440000,22.271,22.273,22.238,22.253,22757,1682641619999,506439.043,1147,9263,206155.792,0
1682641620000,22.252,22.266,22.201,22.257,56481,1682641799999,1255767.408,2073,25842,574635.795,0
1682641800000,22.257,22.287,22.223,22.273,45740,1682641979999,1017788.751,1735,21571,480011.511,0
1682641980000,22.272,22.342,22.262,22.312,60718,1682642159999,1354122.71,1933,28567,637119.956,0
1682642160000,22.311,22.342,22.296,22.33,17504,1682642339999,390644.825,1008,10791,240807.469,0
1682642340000,22.33,22.359,22.303,22.315,30612,1682642519999,683621.802,1330,17290,386111.477,0
1682642520000,22.315,22.342,22.3,22.3,24364,1682642699999,543904.474,868,15049,335999.283,0
1682642700000,22.3,22.377,22.297,22.363,45834,1682642879999,1024405.538,1672,26457,591311.969,0
1682642880000,22.364,22.394,22.355,22.393,21673,1682643059999,484959.297,1238,10762,240823.714,0
1682643060000,22.393,22.43,22.378,22.426,50175,1682643239999,1124328.618,1879,26514,594162.213,0
1682643240000,22.426,22.466,22.423,22.446,60008,1682643419999,1346958.524,2271,33223,745754.672,0
1682643420000,22.445,22.496,22.428,22.486,54363,1682643599999,1221183.617,2150,33988,763510.204,0
1682643600000,22.486,22.495,22.451,22.481,72109,1682643779999,1620726.778,2873,33387,750473.288,0
1682643780000,22.482,22.612,22.471,22.573,140837,1682643959999,3174520.594,5057,93172,2100270.111,0
1682643960000,22.572,22.672,22.549,22.562,149439,1682644139999,3380623.557,6524,86340,1953414.62,0
1682644140000,22.562,22.578,22.512,22.518,79587,1682644319999,1794531.589,3979,38408,866142.449,0
1682644320000,22.518,22.522,22.47,22.484,49045,1682644499999,1103141.731,1829,19983,449453.001,0
1682644500000,22.48,22.481,22.437,22.444,38487,1682644679999,864421.212,1636,18682,419623.83,0
1682644680000,22.443,22.473,22.424,22.439,38096,1682644859999,855140.177,1438,17972,403467.404,0
1682644860000,22.439,22.444,22.417,22.42,21114,1682645039999,473619.73,920,9452,212025.127,0
1682645040000,22.419,22.423,22.381,22.402,42448,1682645219999,950991.047,1539,20767,465270.808,0
1682645220000,22.401,22.434,22.399,22.424,16326,1682645399999,365960.876,780,10231,229345.508,0
1682645400000,22.423,22.423,22.36,22.385,40011,1682645579999,895939.506,1507,17673,395695.212,0
1682645580000,22.385,22.416,22.36,22.403,34573,1682645759999,773985.122,1268,17635,394805.13,0
1682645760000,22.403,22.465,22.4,22.441,41504,1682645939999,931180.21,1486,23682,531319.806,0
1682645940000,22.44,22.456,22.421,22.426,29500,1682646119999,661835.475,1016,16659,373729.942,0
1682646120000,22.427,22.483,22.427,22.473,32839,1682646299999,737674.741,1257,19985,448921.793,0
1682646300000,22.474,22.485,22.442,22.458,39485,1682646479999,886878.056,1270,18063,405694.548,0
1682646480000,22.459,22.468,22.421,22.433,13095,1682646659999,293860.828,688,5547,124484.501,0
1682646660000,22.432,22.446,22.412,22.418,18840,1682646839999,422468.871,727,8234,184652.188,0
1682646840000,22.417,22.42,22.379,22.384,23948,1682647019999,536264.561,897,8228,184244.348,0
1682647020000,22.385,22.394,22.3,22.304,71526,1682647199999,1598323.585,2454,22323,498825.201,0
1682647200000,22.303,22.369,22.296,22.332,51382,1682647379999,1147212.149,1803,27424,612312.592,0
1682647380000,22.332,22.358,22.328,22.347,20033,1682647559999,447587.744,841,11163,249403.511,0
1682647560000,22.346,22.351,22.23,22.247,107931,1682647739999,2403612.744,3197,37343,831721.979,0
1682647740000,22.244,22.285,22.241,22.27,42775,1682647919999,952289.517,1563,22620,503573.742,0
1682647920000,22.27,22.277,22.248,22.276,22120,1682648099999,492470.603,966,8987,200113.316,0
1682648100000,22.277,22.291,22.254,22.272,22832,1682648279999,508569.567,914,12393,276044.233,0
1682648280000,22.271,22.31,22.252,22.271,26670,1682648459999,594181.07,1174,14255,317593.994,0
1682648460000,22.272,22.294,22.263,22.292,14968,1682648639999,333457.239,723,8670,193138.202,0
1682648640000,22.293,22.302,22.267,22.267,14614,1682648819999,325630.859,636,6953,154919.076,0
1682648820000,22.268,22.275,22.247,22.266,21833,1682648999999,485970.552,779,13907,309543.569,0
1682649000000,22.265,22.265,22.206,22.251,25760,1682649179999,572753.748,1102,10257,228048.438,0
1682649180000,22.25,22.254,22.218,22.224,17468,1682649359999,388557.065,708,7826,174079.481,0
1682649360000,22.225,22.253,22.211,22.23,19365,1682649539999,430401.33,954,10431,231836.698,0
1682649540000,22.231,22.263,22.218,22.239,17582,1682649719999,391077.089,787,9618,213916.993,0
1682649720000,22.237,22.265,22.232,22.261,11499,1682649899999,255876.249,692,7211,160458.992,0
1682649900000,22.261,22.276,22.21,22.218,29793,1682650079999,662763.497,1128,12559,279382.534,0
1682650080000,22.218,22.267,22.218,22.233,22562,1682650259999,501831.53,936,12651,281350.691,0
1682650260000,22.233,22.26,22.214,22.254,22023,1682650439999,489687.756,898,10481,233070.413,0
1682650440000,22.254,22.261,22.242,22.245,11350,1682650619999,252549.234,611,6301,140210.546,0
1682650620000,22.245,22.262,22.238,22.256,21099,1682650799999,469429.186,679,15203,338244.544,0
1682650800000,22.256,22.277,22.243,22.272,18436,1682650979999,410360.332,920,10392,231325.725,0
1682650980000,22.272,22.292,22.243,22.243,21731,1682651159999,484034.105,842,9830,219033.619,0
1682651160000,22.243,22.277,22.242,22.274,19801,1682651339999,440683.321,787,10775,239797.91,0
1682651340000,22.275,22.282,22.254,22.276,17196,1682651519999,382978.498,726,8539,190164.751,0
1682651520000,22.276,22.286,22.242,22.285,21390,1682651699999,476117.091,755,12262,272937.382,0
1682651700000,22.286,22.291,22.227,22.267,28440,1682651879999,632927.412,1140,14210,316242.314,0
